Слово,Транскрипция,Перевод
骑,qí,сидеть верхом; ехать
其次,qícì,затем; потом; далее; следующий; во-вторых
其实,qíshí,по сути же дела; на самом же деле; фактически же
其他,qítā,прочие; другие; остальные
其中,qízhōng,среди них; в том числе
奇怪,qíguài,"странный, необыкновенный, причудливый"
起床,qǐchuáng,встать с постели
起飞,qǐfēi,"подняться в воздух, взлететь"
起来,qǐlái,"глагольный суффикс, указывающий на а) движение снизу вверх б) на начало действия в) завершённость действия"
气候,qìhòu,погода; климат
千,qiān,тысяча; кило-
千万,qiānwàn,во что бы то ни стало; ни в коем случае (перед отрицанием)
铅笔,qiānbǐ,карандаш
签证,qiānzhèng,виза
钱,qián,деньги
前面,qiánmian,перед; передний; впереди; перёд
墙,qiáng,стена; ограда; забор
敲,qiāo,стучать; колотить; бить
桥,qiáo,мост
巧克力,qiǎokèlì,шоколад
亲戚,qīnqi,родные; родственники; родня
轻,qīng,лёгкий; легко
轻松,qīngsōng,расслабиться
清楚,qīngchu,ясный; отчётливый; разборчивый; ясно; отчётливо; разборчиво; понятно
晴,qíng,"ясный, безоблачный; проясниться"
情况,qíngkuàng,обстановка; обстоятельства; положение
请,qǐng,просить; пожалуйста!; приглашать
请假,qǐngjià,просить [брать] отпуск; отпрашиваться с работы
请客,qǐngkè,приглашать гостей; угощать
穷,qióng,бедный; нищий
秋,qiū,осень; осенний
区别,qūbié,"различать; отличать; различие, отличие"
取,qǔ,брать; взять; получить
去,qù,уходить; отправляться; идти
去年,qùnián,прошлый [минувший] год; в прошлом году
全部,quánbù,"целиком; полностью; сполна; весь; полный, целый"
缺点,quēdiǎn,недостаток; изъян; дефект
缺少,quēshǎo,"недоставать, не хватать"
却,què,однако; но; тем не менее
确实,quèshí,достоверный; подлинный; действительный
群,qún,толпа; скопление; стадо; табун
裙子,qúnzi,юбка
然而,rán’ér,"но, однако"
然后,ránhòu,"потом, затем"
让,ràng,уступать; предложить; заставлять
热,rè,горячий; жаркий; жар; тепло
热闹,rènao,оживлённый; людный; шумный
热情,rèqíng,тёплый; сердечный
人,rén,человек; люди; особа; персона; личность
人民币,rénmínbì,"народная валюта (в юанях, деньги КНР)"
任何,rènhé,любой; какой бы то ни было; всякий
任务,rènwu,задача; задание
认识,rènshi,знать; быть знакомым; знакомиться
认为,rènwéi,"полагать, считать"
认真,rènzhēn,серьёзный; добросовестный
扔,rēng,бросать; кидать
仍然,réngrán,по-прежнему
日,rì,"солнце; солнечный; день; число, дата; дневной; ежедневный"
日记,rìjì,дневник
容易,róngyì,лёгкий; легко
如果,rúguǒ,если; если бы
入口,rùkǒu,ввозить; импортировать; ввоз; импорт; вход; подъезд (дома); въезд
软,ruǎn,мягкий; гибкий
三,sān,три; третий
伞,sǎn,зонтик; зонт; парашют
散步,sànbù,"прогуливаться, совершать прогулку"
森林,sēnlín,лес; лесной
沙发,shāfā,"диван, софа"
商店,shāngdiàn,магазин
商量,shāngliáng,обсуждать; советоваться
伤心,shāngxīn,огорчаться; сокрушаться; убиваться
上,shàng,верх; верхний; сверху; прошлый; предыдущий; на; в
上班,shàngbān,идти на работу; заступить на смену
上网,shàngwǎng,выходить в интернет
上午,shàngwǔ,"до полудня, в первой половине дня"
稍微,shāowēi,немного; немножко; чуть
少,shǎo,мало; немного; редко; недоставать; на хватать
社会,shèhuì,общество; общественный; социальный
谁,"shuí, shéi",кто; кого; чей
深,shēn,глубокий; глубина
申请,shēnqǐng,подавать заявление; ходатайствовать; просить; ходатайство; просьба
身体,shēntǐ,тело; телосложение; здоровье
什么,shénme,"что?, что такое?; какой?; как?"
甚至,shènzhì,вплоть до того; что; даже; а то и (даже)
生病,shēngbìng,заболеть
生活,shēnghuó,жизнь; бытие; сущестовование
生命,shēngmìng,жизнь
生气,shēngqì,сердиться; гневаться
生日,shēngrì,день рождения
声音,shēngyīn,звук; звучание
省,shěng,экономить; беречь
剩,shèng,оставаться; быть в остатке; оставшийся
失败,shībài,поражение; неудача; потерпеть поражение [неудачу]
失望,shīwàng,разочароваться; разочарование
师傅,shīfu,мастер; наставник
湿润,shīrùn,влажный; сырой
狮子,shīzi,лев
十,shí,десять; десятый
十分,shífēn,"в полной мере; чрезвычайно, весьма, очень"
时候,shíhou,"время, промежуток; времени; во время"
时间,shíjiān,время; промежуток времени
实际,shíjì,реальный; фактический; реальность; действительность
实在,shízài,правдивый; настоящий; действительный
食品,shípǐn,продукты (питания); пищевые продукты
使,shǐ,использовать; применять
使用,shǐyòng,использовать(ся); применять; употреблять; применение
是,shì,есть; быть; являться
试,shì,пробовать; примерять; испытывать; экзамен
市场,shìchǎng,рынок; базар
适合,shìhé,"соответствовать, подходить"
适应,shìyìng,соответствовать; отвечать чему-либо; применяться; приспосабливаться
世纪,shìjì,век; столетие
世界,shìjiè,вселенная; мир; мировой
事情,shìqing,дело; обстоятельство; дела
收,shōu,получать; принимать; брать
收入,shōurù,доход; поступления (денежные)
收拾,shōushi,"привести в порядок, прибрать(ся)"
手表,shǒubiǎo,наручные часы
手机,shǒujī,мобильный телефон
首都,shǒudū,столица
首先,shǒuxiān,"сначала, сперва; в первую очередь; во-первых"
瘦,shòu,худой; худеть; нежирный; постный
受不了,shòubuliǎo,не вынести; невыносимый; в высшей степени тяжёлый
受到,shòudào,получить; пользоваться
售货员,shòuhuòyuán,продавец
书,shū,книга
输,shū,проиграть; потерпеть поражение
舒服,shūfu,удобный; уютный; комфортабельный; здоровый
叔叔,shūshu,дядя (младший брат отца)
熟悉,shúxī,хорошо знать
树,shù,дерево
数量,shùliàng,количество
数学,shùxué,математика
数字,shùzì,цифра; цифры; цифровой
刷牙,shuāyá,чистить зубы
帅,shuài,"представительный, видный; солидный"
双,shuāng,пара; два; оба
水,shuǐ,вода; водяной; гидро-
水果,shuǐguǒ,фрукты; фруктовый
水平,shuǐpíng,уровень; горизонтальный
睡觉,shuìjiào,спать
顺便,shùnbiàn,попутно; заодно; кстати
顺利,shùnlì,гладко; успешно; благоприятно
顺序,shùnxù,порядок; очередь
说话,shuōhuà,говорить; разговаривать
说明,shuōmíng,"объяснить, разъяснить, пояснить"
硕士,shuòshì,магистр
司机,sījī,шофёр; водитель
死,sǐ,смерть; умереть; погибнуть; сдохнуть; мёртвый
四,sì,четыре; четвёртый
送,sòng,посылать; отправлять; доставлять; дарить; преподносить; провожать
速度,sùdù,скорость; темпы
塑料袋,sùliào dài,пластиковый пакет
酸,suān,кислый; прокиснуть
算,suàn,считать; подсчитывать; предполагать; рассчитывать
虽然,suīrán,"хотя, хоть, пусть; несмотря на то, что"
随便,suíbiàn,"как угодно, как захочется"
随着,suízhe,по мере; вслед за
岁,suì,год; годы; лета
孙子,sūnzi,внук
所以,suǒyǐ,"поэтому, а потому; таким образом"
所有,suǒyǒu,собственность; имущество
他,tā,он; его
她,tā,она; её
它,tā,оно; она; он (не о людях)
台,tái,"башня; вышка; сцена, арена; сч. сл.для машин"
抬,tái,поднять; повысить
太,tài,"слишком, чересчур; чрезвычайно"
太阳,tàiyáng,солнце; солнечный
态度,tàidu,позиция; отношение
谈,tán,"беседовать, разговаривать; говорить; излагать"
弹钢琴,tán gāngqín,играть на фортепьяно
汤,tāng,суп
糖,táng,сахар; конфеты
躺,tǎng,лечь; лежать (о человеке)
趟,tàng,сч. сл. раз; сч. сл. для поездов
讨论,tǎolùn,"обсуждать, дискутировать; обсуждение; прения"
讨厌,tǎoyàn,надоесть; опротиветь; надоедливый; докучливый
特别,tèbié,особый; специфический; особенный
特点,tèdiǎn,особенность; своеобразие; специфика
疼,téng,больно; болит; болеть; боль
踢足球,tī zúqiú,играть в футбол
题,tí,тема; вопрос; проблема
提高,tígāo,поднять; повысить
提供,tígōng,предоставлять; поставлять; снабжать
提前,tíqián,досрочно; раньше установленного срока
提醒,tíxǐng,напоминать; подсказывать
体育,tǐyù,физическое воспитание; физкультура; спорт; спортивный
天气,tiānqì,погода; климат
甜,tián,сладкий; сладко
填空,tiánkōng,занять вакансию; заполнять пустые места
条,tiáo,сч. сл. для длинных предметов
条件,tiáojiàn,условие; условный
跳舞,tiàowǔ,танцевать; плясать
听,tīng,слушать
停止,tíngzhǐ,"прекратить, остановить, положить конец"
挺,tǐng,"весьма; чрезвычайно, исключительно"
通过,tōngguò,проходить через
通知,tōngzhī,сообщать; извещать; уведомлять
同情,tóngqíng,сочувствовать; симпатизировать; сочувствие; симпатия
同事,tóngshì,"сослуживец, коллега"
同学,tóngxué,"соученик, однокашник"
同意,tóngyì,согласиться; одобрить; согласие
头发,tóufa,волосы
突然,tūrán,"вдруг, внезапно"
图书馆,túshūguǎn,библиотека
推,tuī,толкать; подталкивать
推迟,tuīchí,"отсрочить, отложить"
腿,tuǐ,нога; бедро
脱,tuō,"снять (одежду, обувь)"
袜子,wàzi,носки; чулки
外,wài,"внешний, наружный; снаружи; вне; за; заграничный"
玩,wán,играть; забавляться; гулять; развлекаться
完,wán,"закончить, завершить; кончиться"
完成,wánchéng,закончить(ся); завершить(ся)
完全,wánquán,полный; целый; совершенный; законченный
碗,wǎn,чашка; пиала
晚上,wǎnshang,вечером; вечер
万,wàn,десять тысяч
往,wǎng,направляться куда-либо
往往,wǎngwǎng,сплошь и рядом; часто; постоянно
网球,wǎngqiú,теннис
网站,wǎngzhàn,интернет-сайт
忘记,wàngjì,забывать
危险,wēixiǎn,опасность; опасный; угрожающий
喂,wèi,алло!; эй!
位,wèi,место; позиция
为,wéi,"делать; действовать; поступать; быть, являться"
为了,wèile,"для; ради; в целях; для того, чтобы"
为什么,wèishénme,почему; отчего; зачем
味道,wèidao,вкус
温度,wēndù,температура
文化,wénhuà,культура; цивилизация; культурный
文章,wénzhāng,статья; сочинение
问,wèn,спрашивать; справляться о чём-либо
问题,wèntí,вопрос; проблема
我,wǒ,я; мой; наш
我们,wǒmen,мы; наш
握手,wòshǒu,"пожимать руку, подавать руку"
污染,wūrǎn,загрязнять; загрязнение
无,wú,не; не иметь; без-
无聊,wúliáo,скука; скучный
无论,wúlùn,независимо от чего-либо
五,wǔ,пять; пятый
误会,wùhuì,неправильно понять; недоразумение
西,xī,запад; западный
西瓜,xīguā,арбуз
西红柿,xīhóngshì,помидор; томат
希望,xīwàng,надеяться; надежда
吸引,xīyǐn,вовлекать; привлекать
习惯,xíguàn,привычка; обычай
洗,xǐ,мыть; стирать; купать; умывать
洗手间,xǐshǒujiān,туалет
洗衣机,xǐyījī,стиральная машина
洗澡,xǐzǎo,мыться; принимать ванну; купаться
喜欢,xǐhuan,нравиться; любить
夏,xià,лето; летний
下,xià,"нижний; низ; под, при; в; следующий; будущий"
下午,xiàwǔ,"вторая половина дня, после полудня"
下雨,xiàyǔ,идёт дождь; стоит дождливая погода
先,xiān,раньше; сначала; прежде
先生,xiānsheng,господин; мистер
咸,xián,солёный
现代,xiàndài,современный
现在,xiànzài,еперь; сейчас; ныне
羡慕,xiànmù,завидовать; зависть
限制,xiànzhì,ограничить; ограничение
香,xiāng,ароматный; душистый; вкусный; аппетитный
香蕉,xiāngjiāo,банан
相反,xiāngfǎn,напротив; наоборот
相同,xiāngtóng,одинаковый; тождественный; идентичный
相信,xiāngxìn,верить; доверять
详细,xiángxì,подробный; детальный
响,xiǎng,звучный; звонкий
想,xiǎng,думать; обдумывать; размышлять; собираться; хотеть
向,xiàng,направление; курс
像,xiàng,"внешний облик, вид; форма; портрет; картина; статуя"
消息,xiāoxi,известия; новости; сообщения; сведения
小,xiǎo,"маленький; мелкий; малый, молодой; младший; быть моложе"
小姐,xiǎojie,барышня; мисс
小时,xiǎoshí,час
小说,xiǎoshuō,беллетристика; повесть; рассказ; роман
小心,xiǎoxīn,остерегаться; беречься; осторожно
笑,xiào,смеяться; смех; улыбаться; улыбка
笑话,xiàohuà,шутка; анекдот
效果,xiàoguǒ,эффект; результат
校长,xiàozhǎng,директор школы; ректор вуза [университета]
些,xiē,немного; несколько
鞋,xié,туфли; ботинки; обувь
写,xiě,писать; записывать; описывать
谢谢,xièxie,спасибо; благодарю; благодарить
新,xīn,новый; современный; свежий
新闻,xīnwén,новости; известия; хроника
新鲜,xīnxiān,свежий; чистый; новый
辛苦,xīnkǔ,упорно трудиться; в поте лица; не щадя сил
心情,xīnqíng,настроение; расположение духа
信,xìn,верить; доверять; доверие
信任,xìnrèn,доверие; доверять
信心,xìnxīn,уверенность; чувство уверенности; вера
信用卡,xìnyongkǎ,Кредитная карта
兴奋,xīngfèn,возбуждение; возбуждённый; приподнятый
星期,xīngqī,неделя
行,xíng,можно; разрешается; ладно
行李箱,xínglixiāng,чемодан
醒,xǐng,проснуться; пробудиться; очнуться; бодрствовать
姓,xìng,фамилия; по фамилии
性别,xìngbié,пол; половые различия
性格,xìnggé,характер; натура
幸福,xìngfú,счастье; счастливый
兴趣,xìngqù,интерес
熊猫,xióngmāo,бамбуковый медведь; большая панда
修,xiū,ремонтировать; исправлять; чинить
休息,xiūxi,отдыхать; отдых; перерыв; антракт
需要,xūyào,нуждаться; необходимо; требоваться
许多,xǔduō,много; множество
选择,xuǎnzé,выбирать; отбирать; выбор
学生,xuésheng,студент; ученик; учащийся
学习,xuéxí,"учиться; обучаться; обучение, учёба"
学校,xuéxiào,школа; учебное заведение; училище
雪,xuě,снег
血,xuè,кровь
压力,yālì,давление; нажим
牙膏,yágāo,зубная паста
呀,ya,фразовая частица
盐,yán,соль
严格,yángé,строгий; строго
严重,yánzhòng,серьёзный; тяжёлый
研究生,yánjiūshēng,аспирант
颜色,yánsè,цвет; окраска
演出,yǎnchū,представлять; исполнять; представление; выступление
演员,yǎnyuán,артист; актёр
眼镜,yǎnjìng,очки
眼睛,yǎnjing,глаза
亚洲,yàzhōu,Азия; азиатский
阳光,yángguāng,солнечный свет; солнечные лучи
羊肉,yángròu,баранина
养成,yǎngchéng,"выработать; привить (напр., привычку)"
样子,yàngzi,вид; модель; фасон; вид; выражение лица
邀请,yāoqǐng,приглашать; приглашение
要求,yāoqiú,требовать; добиваться; просить; требование
要,yào,"хотеть, желать; намереваться; нужно, необходимо; следует; должно"
药,yào,лекарство; медикаменты; лекарственный
钥匙,yàoshi,ключ
爷爷,yéye,дедушка
也,yě,"тоже, также; и"
也许,yěxǔ,"возможно, может быть"
页,yè,страница; лист
叶子,yèzi,лист; листва
一,yī,один; единица; первый
衣服,yīfu,одежда; платье; костюм
医生,yīsheng,"врач, доктор"
医院,yīyuàn,больница; госпиталь
一定,yīdìng,"непременно, обязательно; обязательный"
一共,yīgòng,всего; итого
一会儿,yīhuìr,минутка; на минуту; немного; немножко
一切,yīqiè,все; весь
一样,yīyàng,"одинаковый; такой же, как"
以,yǐ,с помощью; посредством
以后,yǐhòu,"после; потом; после того, как"
以前,yǐqián,"раньше, прежде"
以为,yǐwéi,"полагать, считать"
已经,yǐjīng,уже
椅子,yǐzi,стул
亿,yì,сто миллионов
一般,yībān,"обычный, простой, рядовой, заурядный"
一边,yībiān,одна сторона; с одной стороны
一起,yīqǐ,вместе; совместно; сообща
一直,yīzhí,"прямо, напрямик; всё время, всегда"
意见,yìjian,"мнение, взгляд; точка зрения"
意思,yìsi,"мысль; идея; смысл, значение; интерес"
艺术,yìshù,искусство; художество; художественный
阴,yīn,тёмный; пасмурный; тёмный; пасмурный
因此,yīncǐ,"в связи с этим, поэтому"
因为,yīnwèi,"так как, потому что; вследствие того, что; ибо"
音乐,yīnyuè,музыка; музыкальный
银行,yínháng,банк; банковский
饮料,yǐnliào,напитки; питьё
引起,yǐnqǐ,возбуждать; вызывать
印象,yìnxiàng,впечатление
应该,yīnggāi,"следует, должно; нужно; полагается"
赢,yíng,выиграть; одержать победу; победить
影响,yǐngxiǎng,влиять; оказывать влияние; воздействовать
硬,yìng,твёрдый; жёсткий; крепкий
勇敢,yǒnggǎn,"смелый, храбрый, отважный"
永远,yǒngyuǎn,навечно; навсегда; вечно
用,yòng,"употреблять, использовать; применять"
优点,yōudiǎn,"достоинство, преимущество; плюс"
优秀,yōuxiù,превосходный; замечательный; прекрасный
幽默,yōumò,юмор; юмористический
由,yóu,из; от; с; через
由于,yóuyú,"из-за того, что; вследствие того, что; благодаря тому, что"
尤其,yóuqí,в особенности; особенно; тем более
游戏,yóuxì,"игра, забава; играть, забавляться"
游泳,yóuyǒng,плавать; плавание
有,yǒu,иметь(ся); иметь в наличии; обладать; есть
有名,yǒumíng,"известный, знаменитый"
有趣,yǒuqù,интересный; интересно; забавно
友好,yǒuhǎo,дружба; дружественный
友谊,yǒuyì,дружба; дружеский
又,yòu,"опять, снова"
右边,yòubian,правая сторона; справа; правый
鱼,yú,рыба; рыбный; рыбий
愉快,yúkuài,радостный; радость
于是,yúshì,таким образом; и тогда
与,yǔ,и; с; к
语法,yǔfǎ,грамматика; грамматический
语言,yǔyán,язык; речь; языковый
羽毛球,yǔmáoqiú,бадминтон
遇到,yùdào,встретить(ся); столкнуться
预习,yùxí,предварительное ознакомление с материалом
元,yuán,юань
圆,yuán,круглый
原来,yuánlái,с самого начала; первоначально; первоначальный
原谅,yuánliàng,извинять; прощать
原因,yuányīn,причина
远,yuǎn,далёкий; дальний; далеко
愿意,yuànyì,желать; хотеть; желание; готовность
约会,yuēhuì,"свидание, встреча"
越,yuè,перейти через; ещё более
月,yuè,луна; месяц
月亮,yuèliang,луна; месяц
阅读,yuèdú,читать; чтение
云,yún,облако; туча
允许,yǔnxǔ,разрешать; позволять
运动,yùndòng,спорт; атлетика; спортивный
杂志,zázhì,журнал
在,zài,существовать; находиться; в; на
再,zài,снова; опять; ещё
再见,zàijiàn,до свидания
咱们,zánmen,мы (включая собеседника)
暂时,zànshí,временный; временно; пока
脏,zāng,грязный; испачкать(ся)
早上,zǎoshang,"утром, спозаранку"
责任,zérèn,ответственность; обязанность; долг
怎么,zěnme,"как?, каким образом?"
怎么样,zěnmeyàng,"как, каким образом; каков"
增加,zēngjiā,увеличить(ся); повысить(ся); возрасти
增长,zēngzhǎng,возрастать; расти; увеличиваться; увеличение; рост
窄,zhǎi,узкий; тесный
站,zhàn,стоять; встать; остановка; станция
张,zhāng,"раскрывать; открывать; сч. сл. для листов, столов, кроватей"
丈夫,zhàngfu,муж; супруг
招聘,zhāopìn,приглашать; нанимать (на работу)
着急,zháojí,волноваться; беспокоиться; торопиться; спешить
找,zhǎo,искать; разыскивать; спрашивать; искать кого-либо
照顾,zhàogu,заботиться; беспокоиться; ухаживать
照片,zhàopiàn,фотокарточка; фотография
照相机,zhàoxiàngjī,фотоаппарат
这,zhè,"это, этот"
着,zhe,"глагольный суффикс, указывающий на продолженный характер действия или состояния"
真,zhēn,настоящий; истинный; подлинный; достоверный; действительный
真正,zhēnzhèng,подлинный; настоящий; истинный
整理,zhěnglǐ,привести в порядок; навести порядок; упорядочить
整齐,zhěngqí,ровный; стройный
正常,zhèngcháng,нормальный; обычный
正好,zhènghǎo,как раз; кстати
正确,zhèngquè,правильный; верный; достоверный
正式,zhèngshì,официальный; официально
正在,zhèngzài,"перед глаголом указывает на то, что действие происходит в данный момент"
证明,zhèngmíng,удостоверять; свидетельствовать
之,zhī,показатель определения; употребляется для обозначения дробей и процентов
只,zhǐ,только; лишь; всего лишь; только лишь
只,zhī,сч. сл. для некоторых предметов и животных
支持,zhīchí,поддерживать; поддержка
值得,zhíde,заслуживать; стоить
知道,zhīdao,знать; иметь представление
直接,zhīshi,знания; познания
直接,zhíjiē,прямой; непосредственный
植物,zhíwù,растение; растительный
职业,zhíyè,занятие; профессия; профессиональный
指,zhǐ,палец; показывать; указывать
只好,zhǐhǎo,"быть вынужденным; приходится, остаётся лишь"
知识,zhīshi,знания; познания
只要,zhǐyào,если только; стоит лишь
质量,zhìliàng,масса
至少,zhìshǎo,самое малое; минимум
制造,zhìzào,изготавливать; производить
中国,zhōngguó,Китай; китайский
中间,zhōngjiān,посередине; между; среди
中文,zhōngwén,китайский язык
中午,zhōngwǔ,полдень
终于,zhōngyú,в конечном счёте; в конечном итоге; в конце концов
种,zhǒng,семя; род; вид
重点,zhòngdiǎn,ключевой пункт; главное звено
重视,zhòngshì,придавать важное значение; ценить; уделять внимание
重要,zhòngyào,важный
周末,zhōumò,конец недели; уик-энд
周围,zhōuwéi,"круг, окружность; периферия"
猪,zhū,свинья
逐渐,zhújiàn,постепенно
主动,zhǔdòng,активный; инициативный; инициатива
主要,zhǔyào,главный; основной
主意,zhǔyì,мнение; идея
住,zhù,"жить, проживать"
祝,zhù,поздравлять
祝贺,zhùhè,поздравлять
著名,zhùmíng,знаменитый; известный
注意,zhùyì,обращать [уделять] внимание; внимание
专门,zhuānmén,специальный; специально
专业,zhuānyè,специальность; профессия
赚,zhuàn,зарабатывать; наживать
撞,zhuàng,толкнуть; ударить; наскочить; столкнуться
准备,zhǔnbèi,подготовить; подготовиться к...; быть готовым
准确,zhǔnquè,точный; правильный
准时,zhǔnshí,вовремя; в установленное время
桌子,zhuōzi,стол
仔细,zǐxì,тщательный; тщательно; внимательно
字,zì,иероглиф; слово
字典,zìdiǎn,словарь
自己,zìjǐ,сам; себя; свой; собственный
自然,zìrán,естественно; конечно; само собой разумеется
自行车,zìxíngchē,велосипед
总结,zǒngjié,"общий итог, резюме, выводы, заключение; отчёт"
总是,zǒngshì,всегда; всё время
走,zǒu,идти; ходить
租,zū,"арендовать; снимать (напр., квартиру); брать напрокат"
组成,zǔchéng,образовать; сформировать; составить
组织,zǔzhī,организовать; образовать; сформировать
嘴,zuǐ,рот; пасть; клюв
最,zuì,самый; больше всего
最好,zuìhǎo,самый хороший; лучший; наилучший
最后,zuìhòu,самый последний; последний; конечный
最近,zuìjìn,недавний; последний
尊重,zūnzhòng,уважать; ценить; серьёзный; солидный
昨天,zuótiān,вчера; вчерашний день
左边,zuǒbian,левая сторона; налево
坐,zuò,сидеть; садиться
做,zuò,делать; изготавливать; сделаться; стать
做生意,zuò shēngyi,вести торговлю; торговать
座,zuò,место; сиденье
座位,zuòwèi,место; сиденье
作业,zuòyè,работа; задание
作用,zuòyòng,роль; значение
作者,zuòzhě,автор
